                                                    gpt2-011_run1-c  \
gpt2-901_run3-c                                            0.354351   
gpt2-011_run3-c                                            0.241242   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.278128   
gpt2-011_run4-c                                            0.180248   
gpt2-401_run2-c                                            0.408177   
gpt2-401_run1-c                                            0.361294   
sample_m25c_kristy_and_the_middle_school_vandal...         0.259532   
gpt2-401_run3-c                                            0.313905   
sample_004c_mary_anne_saves_the_day_2_240                  0.280657   
gpt2-101_run3-c                                            0.229970   

                                                    gpt2-011_run2-c  \
gpt2-901_run3-c                                            0.479423   
gpt2-011_run3-c                                            0.435037   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.420096   
gpt2-011_run4-c                                            0.418290   
gpt2-401_run2-c                                            0.351753   
gpt2-401_run1-c                                            0.396288   
sample_m25c_kristy_and_the_middle_school_vandal...         0.418507   
gpt2-401_run3-c                                            0.361409   
sample_004c_mary_anne_saves_the_day_2_240                  0.379596   
gpt2-101_run3-c                                            0.340588   

                                                    gpt2-011_run3-c  \
gpt2-901_run3-c                                            0.430473   
gpt2-011_run3-c                                            0.000000   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.461316   
gpt2-011_run4-c                                            0.369124   
gpt2-401_run2-c                                            0.444581   
gpt2-401_run1-c                                            0.517296   
sample_m25c_kristy_and_the_middle_school_vandal...         0.366972   
gpt2-401_run3-c                                            0.431704   
sample_004c_mary_anne_saves_the_day_2_240                  0.367020   
gpt2-101_run3-c                                            0.397940   

                                                    gpt2-011_run4-c  \
gpt2-901_run3-c                                            0.402222   
gpt2-011_run3-c                                            0.369124   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.330523   
gpt2-011_run4-c                                            0.000000   
gpt2-401_run2-c                                            0.513022   
gpt2-401_run1-c                                            0.404661   
sample_m25c_kristy_and_the_middle_school_vandal...         0.329566   
gpt2-401_run3-c                                            0.424944   
sample_004c_mary_anne_saves_the_day_2_240                  0.348291   
gpt2-101_run3-c                                            0.270305   

                                                    gpt2-011_run5-c  \
gpt2-901_run3-c                                            0.386210   
gpt2-011_run3-c                                            0.306006   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.255868   
gpt2-011_run4-c                                            0.298558   
gpt2-401_run2-c                                            0.378565   
gpt2-401_run1-c                                            0.291330   
sample_m25c_kristy_and_the_middle_school_vandal...         0.223750   
gpt2-401_run3-c                                            0.292353   
sample_004c_mary_anne_saves_the_day_2_240                  0.217697   
gpt2-101_run3-c                                            0.346657   

                                                    gpt2-101_run1-c  \
gpt2-901_run3-c                                            0.413528   
gpt2-011_run3-c                                            0.373274   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.400752   
gpt2-011_run4-c                                            0.332010   
gpt2-401_run2-c                                            0.389150   
gpt2-401_run1-c                                            0.380028   
sample_m25c_kristy_and_the_middle_school_vandal...         0.323053   
gpt2-401_run3-c                                            0.338503   
sample_004c_mary_anne_saves_the_day_2_240                  0.324630   
gpt2-101_run3-c                                            0.318504   

                                                    gpt2-101_run2-c  \
gpt2-901_run3-c                                            0.327145   
gpt2-011_run3-c                                            0.391320   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.242891   
gpt2-011_run4-c                                            0.285007   
gpt2-401_run2-c                                            0.313298   
gpt2-401_run1-c                                            0.289731   
sample_m25c_kristy_and_the_middle_school_vandal...         0.248307   
gpt2-401_run3-c                                            0.238286   
sample_004c_mary_anne_saves_the_day_2_240                  0.275674   
gpt2-101_run3-c                                            0.342450   

                                                    gpt2-101_run3-c  \
gpt2-901_run3-c                                            0.445145   
gpt2-011_run3-c                                            0.397940   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.433690   
gpt2-011_run4-c                                            0.270305   
gpt2-401_run2-c                                            0.516503   
gpt2-401_run1-c                                            0.465579   
sample_m25c_kristy_and_the_middle_school_vandal...         0.391393   
gpt2-401_run3-c                                            0.441192   
sample_004c_mary_anne_saves_the_day_2_240                  0.367748   
gpt2-101_run3-c                                            0.000000   

